imdb_title_identifier,domestic_gross,international_gross,worldwide_gross,name
tt0064665,44785053,0,44785053,Midnight Cowboy
tt0064757,22774493,0,22774493,On Her Majesty's Secret Service
tt0064782,14500000,0,14500000,Paint Your Wagon
tt0064990,33216,0,33216,Mississippi Mermaid
tt0065126,276418,0,276418,True Grit
tt0065134,5050000,0,5050000,Two Mules for Sister Sara
tt0065207,7100000,0,7100000,Where Eagles Dare
tt0065214,638641,0,638641,The Wild Bunch
tt0065234,83305,0,83305,Z
tt0065377,100489151,0,100489151,Airport
tt0065421,35452658,0,35452658,The Aristocats
tt0065462,18999718,0,18999718,Beneath the Planet of the Apes
tt0065488,2695,0,2695,The Boys in the Band
tt0065531,369970,37908,407878,Le Cercle Rouge
tt0065571,58657,0,58657,The Conformist
tt0065775,13300000,0,13300000,Getting Straight
tt0065916,19319254,0,19319254,Joe
tt0065938,5200000,0,5200000,Kelly's Heroes
tt0065988,31559552,0,31559552,Little Big Man
tt0066011,106550690,0,106550690,Love Story
tt0066026,81600000,0,81600000,MASH
tt0066181,14000000,0,14000000,On a Clear Day You Can See Forever
tt0066206,61749765,0,61749765,Patton
tt0066434,2437000,0,2437000,THX 1138
tt0066491,14586,0,14586,Tristana
tt0066580,126562,194048,320610,Woodstock
tt0066819,1100000,0,1100000,The Beguiled
tt0066921,26589355,0,26589355,A Clockwork Orange
tt0066995,43819547,0,43819547,Diamonds Are Forever
tt0066999,35976000,0,35976000,Dirty Harry
tt0067065,12348905,0,12348905,Escape from the Planet of the Apes
tt0067093,10404330,0,10404330,Fiddler on the Roof
tt0067116,51700000,0,51700000,The French Connection
tt0067328,29133000,0,29133000,The Last Picture Show
tt0067409,35387,0,35387,Max and the Junkmen
tt0067454,33036,5367,38403,Multiple Maniacs
tt0067515,280710,0,280710,Octaman
tt0067541,50394,0,50394,Wake in Fright
tt0067588,10600000,0,10600000,Play Misty for Me
tt0067778,1160784,0,1160784,Murmur of the Heart
tt0067866,80302,75518,155820,El Topo
tt0067900,48040,0,48040,Un Flic
tt0067927,12442673,0,12442673,Vanishing Point
tt0067961,51713,0,51713,Wanda
tt0067992,526633,0,526633,Willy Wonka & the Chocolate Factory
tt0068028,19987,0,19987,Eight Hours Don't Make a Day
tt0068408,9043472,0,9043472,Conquest of the Planet of the Apes
tt0068537,587818,0,587818,Elvis on Tour
tt0068555,18016290,0,18016290,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
tt0068619,21197,0,21197,Ganja & Hess
tt0068646,134966411,110163857,245130268,The Godfather
tt0068699,15700000,0,15700000,High Plains Drifter
tt0068768,6330000,0,6330000,Joe Kidd
tt0069027,14104,0,14104,We Won't Grow Old Together
tt0069113,84563118,0,84563118,The Poseidon Adventure
tt0069495,66000000,0,66000000,"What's Up, Doc?"
tt0069704,115000000,0,115000000,American Graffiti
tt0069768,8844595,0,8844595,Battle for the Planet of the Apes
tt0069946,2300000,0,2300000,The Day of the Dolphin
tt0069966,3179,0,3179,Detroit 9000
tt0070047,232906145,208400000,441306145,The Exorcist
